Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute magnitude (Mv),Star type,Star category,Star color
18290,0.0013,0.00934,12.78,2,5,0
14520,0.00082,0.00972,11.92,2,5,2
11900,0.00067,0.00898,11.38,2,5,4
8924,0.00028,0.00879,14.87,2,5,3
12912,0.00071,0.00945,12.83,2,5,3
14732,0.00011,0.00892,12.89,2,5,16
7723,0.00014,0.00878,14.81,2,5,11
12984,0.00088,0.00996,11.23,2,5,2
29560,188000.0,6.02,-4.01,3,2,6
8945,38.0,2.487,0.12,3,2,5
14060,1092.0,5.745,-2.04,3,2,6
16390,1278.0,5.68,-3.32,3,2,6
25070,14500.0,5.92,-3.98,3,2,6
28700,16790.0,6.4,-4.09,3,2,6
26140,14520.0,5.49,-3.8,3,2,6
20120,4720.0,6.78,-3.4,3,2,6
13023,998.0,6.21,-1.38,3,2,6
37800,202900.0,6.86,-4.56,3,2,0
25390,223000.0,57.0,-5.92,4,4,0
11567,251000.0,36.0,-6.245,4,4,0
12675,452000.0,83.0,-5.62,4,4,0
5752,245000.0,97.0,-6.63,4,4,0
8927,239000.0,35.0,-7.34,4,4,0
7282,131000.0,24.0,-7.22,4,4,0
19923,152000.0,73.0,-5.69,4,4,0
26373,198000.0,39.0,-5.83,4,4,0
17383,342900.0,30.0,-6.09,4,4,0
9373,424520.0,24.0,-5.99,4,4,0
3570,320000.0,1480.0,-7.58,5,1,10
3500,138000.0,1420.0,-8.18,5,1,10
4287,630000.0,1315.0,-9.2,5,1,7
26000,316000.0,1679.0,-9.1,5,1,0
3600,240000.0,1190.0,-7.89,5,1,10
3614,145000.0,1553.0,-7.71,5,1,10
18000,200000.0,1045.0,-8.3,5,1,0
11000,170000.0,1779.0,-9.9,5,1,6
12100,120000.0,708.9,-7.84,5,1,6
24490,248490.0,1134.5,-8.24,5,1,6
2831,0.000231,0.0915,16.21,0,0,10
2914,0.000631,0.116,18.39,0,0,10
3419,0.000245,0.126,17.56,0,0,10
3218,0.000452,0.0987,17.34,0,0,10
3453,0.000621,0.0773,17.08,0,0,10
2889,0.000352,0.0973,16.93,0,0,10
2968,0.000461,0.119,17.45,0,0,10
3484,0.000551,0.0998,16.67,0,0,10
2778,0.000849,0.112,19.45,0,0,10
3523,0.000957,0.129,16.35,0,0,10
3462,0.0053,0.148,11.47,1,3,10
3257,0.0024,0.46,10.73,1,3,10
2994,0.0072,0.28,13.45,1,3,10
3212,0.0016,0.378,12.854,1,3,10
3523,0.0054,0.319,12.43,1,3,10
3598,0.0027,0.67,13.667,1,3,10
3142,0.00132,0.258,14.12,1,3,10
3496,0.00125,0.336,14.94,1,3,10
3324,0.0065,0.471,12.78,1,3,10
3463,0.0027,0.675,14.776,1,3,10
16790,0.0014,0.0121,12.87,2,5,0
15680,0.00122,0.0114,11.92,2,5,0
14982,0.00118,0.0113,12.23,2,5,0
13340,0.00109,0.0116,12.9,2,5,0
18340,0.00134,0.0124,11.22,2,5,0
19920,0.00156,0.0142,11.34,2,5,0
24020,0.00159,0.0127,10.55,2,5,0
23092,0.00132,0.0104,10.18,2,5,0
17920,0.00111,0.0106,11.66,2,5,0
19360,0.00125,0.00998,11.62,2,5,0
22350,12450.0,6.36,-3.67,3,2,6
10012,552.0,5.856,0.013,3,2,6
13089,788.0,5.992,-0.12,3,2,6
22012,6748.0,6.64,-2.55,3,2,6
34190,198200.0,6.39,-4.57,3,2,0
32460,173800.0,6.237,-4.36,3,2,0
9320,29.0,1.91,1.236,3,2,6
19400,10920.0,6.03,-3.08,3,2,6
17140,883.0,5.653,-2.64,3,2,6
8250,9.25,1.93,-0.98,3,2,17
23678,244290.0,35.0,-6.27,4,4,0
12749,332520.0,76.0,-7.02,4,4,0
9383,342940.0,98.0,-6.98,4,4,0
23440,537430.0,81.0,-5.975,4,4,0
16787,246730.0,62.0,-6.35,4,4,0
18734,224780.0,46.0,-7.45,4,4,0
9892,593900.0,80.0,-7.262,4,4,0
10930,783930.0,25.0,-6.224,4,4,0
23095,347820.0,86.0,-5.905,4,4,0
21738,748890.0,92.0,-7.346,4,4,0
24145,382993.0,1494.0,-8.84,5,1,6
38234,272830.0,1356.0,-9.29,5,1,0
32489,648430.0,1948.5,-10.84,5,1,0
27739,849420.0,1252.0,-7.59,5,1,6
21904,748490.0,1130.0,-7.67,5,1,6
38940,374830.0,1356.0,-9.93,5,1,0
30839,834042.0,1194.0,-10.63,5,1,0
8829,537493.0,1423.0,-10.73,5,1,11
9235,404940.0,1112.0,-11.23,5,1,11
37882,294903.0,1783.0,-7.8,5,1,0
